Approved symbol,Approved name,Accession numbers,RefSeq IDs
OR52B6,olfactory receptor family 52 subfamily B member 6,AB065858,NM_001005162
OR52D1,olfactory receptor family 52 subfamily D member 1,BK004276,NM_001005163
OR52E1,olfactory receptor family 52 subfamily E member 1 (gene/pseudogene)
OR52E2,olfactory receptor family 52 subfamily E member 2,AB065800,NM_001005164
OR52E4,olfactory receptor family 52 subfamily E member 4,AB065817,NM_001005165
OR52E5,olfactory receptor family 52 subfamily E member 5,AB065536,NM_001005166
OR52E6,olfactory receptor family 52 subfamily E member 6,AB065815,NM_001005167
OR52E8,olfactory receptor family 52 subfamily E member 8,BK004301,NM_001005168
OR52H1,olfactory receptor family 52 subfamily H member 1,AB065802,NM_001005289
OR52I1,olfactory receptor family 52 subfamily I member 1,BK004371,NM_001005169
OR52I2,olfactory receptor family 52 subfamily I member 2,BK004264,NM_001005170
OR52J3,olfactory receptor family 52 subfamily J member 3,AB065530,NM_001001916
OR52K1,olfactory receptor family 52 subfamily K member 1,AB065790,NM_001005171
OR52K2,olfactory receptor family 52 subfamily K member 2,AB065791,NM_001005172
OR52L1,olfactory receptor family 52 subfamily L member 1,AB065819,NM_001005173
OR52M1,olfactory receptor family 52 subfamily M member 1,AB065789,NM_001004137
OR52N1,olfactory receptor family 52 subfamily N member 1,AB065538,NM_001001913
OR52N2,olfactory receptor family 52 subfamily N member 2,AB065816,NM_001005174
OR52N4,olfactory receptor family 52 subfamily N member 4,AB065813,NM_001005175
OR52N5,olfactory receptor family 52 subfamily N member 5,AB065535,NM_001001922
OR52P1,olfactory receptor family 52 subfamily P member 1 (gene/pseudogene)
OR52R1,olfactory receptor family 52 subfamily R member 1,BK004282,NM_001005177
OR52W1,olfactory receptor family 52 subfamily W member 1,AB065511,NM_001005178
OR56A1,olfactory receptor family 56 subfamily A member 1,AB065821,NM_001001917
OR56A3,olfactory receptor family 56 subfamily A member 3,,NM_001003443
OR56A4,olfactory receptor family 56 subfamily A member 4,BK004255,NM_001005179
OR56A5,olfactory receptor family 56 subfamily A member 5,,NM_001146033
OR56B1,olfactory receptor family 56 subfamily B member 1,BK004386,NM_001005180
OR56B4,olfactory receptor family 56 subfamily B member 4,AB065513,NM_001005181
ORAI1,ORAI calcium release-activated calcium modulator 1,AK027372,NM_032790
ORAI2,ORAI calcium release-activated calcium modulator 2,AF258552,NM_032831
ORAI3,ORAI calcium release-activated calcium modulator 3,BC006126,NM_152288
ORC1,origin recognition complex subunit 1,,NM_004153
ORC2,origin recognition complex subunit 2,,NM_006190
ORC3,origin recognition complex subunit 3,AF093535
ORC4,origin recognition complex subunit 4,AF022108,NM_181742
ORC5,origin recognition complex subunit 5,,NM_002553
ORC6,origin recognition complex subunit 6,AF139658
ORM1,orosomucoid 1
ORM2,orosomucoid 2,,NM_000608
ORMDL1,ORMDL sphingolipid biosynthesis regulator 1,,NM_016467
ORMDL2,ORMDL sphingolipid biosynthesis regulator 2,AF395707,NM_014182
ORMDL3,ORMDL sphingolipid biosynthesis regulator 3,,NM_139280
OS9,OS9 endoplasmic reticulum lectin,AB002806,NM_006812
OSBP,oxysterol binding protein,AF185696
OSBP2,oxysterol binding protein 2,,NM_030758
OSBPL1A,oxysterol binding protein like 1A,"AF392449, AF274714",NM_080597
OSBPL2,oxysterol binding protein like 2,AB018315,NM_014835
OSBPL3,oxysterol binding protein like 3,AB014604
OSBPL5,oxysterol binding protein like 5,AF392453
OSBPL6,oxysterol binding protein like 6,AF392448,NM_032523
OSBPL7,oxysterol binding protein like 7,AF392446,NM_017731
OSBPL8,oxysterol binding protein like 8,AF392452,NM_020841
OSBPL9,oxysterol binding protein like 9,AF392445
OSBPL10,oxysterol binding protein like 10,AF392451
OSBPL11,oxysterol binding protein like 11,AF392454,NM_022776
OSCAR,osteoclast associated Ig-like receptor,AK130199,NM_133169
OSCP1,organic solute carrier partner 1,,NM_145047
OSER1,oxidative stress responsive serine rich 1,AL035447,NM_016470
OSGEP,O-sialoglycoprotein endopeptidase,AB050442,NM_017807
OSGEPL1,O-sialoglycoprotein endopeptidase like 1,AJ295148,NM_022353
OSGIN1,oxidative stress induced growth inhibitor 1,AY258066,NM_013370
OSGIN2,oxidative stress induced growth inhibitor family member 2,AF061326,NM_004337
OSM,oncostatin M,AF129855,NM_020530
OSMR,oncostatin M receptor,U60805,NM_003999
OSR1,odd-skipped related transcription factor 1,BC025712,NM_145260
OSR2,odd-skipped related transciption factor 2,AY038072,NM_053001
OST4,"oligosaccharyltransferase complex subunit 4, non-catalytic",BC105283,NM_001134693
OSTC,oligosaccharyltransferase complex non-catalytic subunit,AF201937,NM_021227
OSTF1,osteoclast stimulating factor 1,U63717,NM_012383
OSTM1,osteoclastogenesis associated transmembrane protein 1,AF533891,NM_014028
OSTN,osteocrin,AY398681,NM_198184
OTC,ornithine transcarbamylase,K02100
OTOA,otoancorin,AK057335
OTOF,otoferlin,AF107403
OTOG,otogelin,AK128214
OTOGL,otogelin like,AK096852,NM_173591
OTOL1,otolin 1,,NM_001080440
OTOP1,otopetrin 1,BK000653,NM_177998
OTOP2,otopetrin 2,BK000567,NM_178160
OTOP3,otopetrin 3,BK000568,NM_178233
OTOR,otoraplin,AF233261
OTOS,otospiralin,,NM_148961
OTP,orthopedia homeobox
OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1",AY177200,NM_017670
OTUB2,"OTU deubiquitinase, ubiquitin aldehyde binding 2",AF318378
OTUD1,OTU deubiquitinase 1,AK096389,NM_001145373
OTUD3,OTU deubiquitinase 3,AB007928
OTUD4,OTU deubiquitinase 4,,NM_017493
OTUD5,OTU deubiquitinase 5,,NM_017602
OTUD6A,OTU deubiquitinase 6A,AK098697,NM_207320
OTUD6B,OTU deubiquitinase 6B,,NM_016023
OTUD7A,OTU deubiquitinase 7A,AJ430383,NM_130901
OTUD7B,OTU deubiquitinase 7B,AJ293573,NM_020205
OTULIN,OTU deubiquitinase with linear linkage specificity,,NM_138348
OTULINL,OTU deubiquitinase with linear linkage specificity like,,NM_019018
OTX1,orthodenticle homeobox 1
OTX2,orthodenticle homeobox 2,AF298117,NM_021728.
OVCA2,OVCA2 serine hydrolase domain containing,AF321875,NM_080822
OVCH1,ovochymase 1,BN000128,NM_183378
OVCH2,ovochymase 2,BN000120,NM_198185
OVGP1,oviductal glycoprotein 1,U09550,NM_002557
OVOL1,ovo like transcriptional repressor 1,BC059408,NM_004561
OVOL2,ovo like zinc finger 2,AK022284,NM_021220
OVOL3,ovo like zinc finger 3,,NM_001302757
OXA1L,OXA1L mitochondrial inner membrane protein,,NM_005015
OXCT1,3-oxoacid CoA-transferase 1,U62961,NM_000436
OXCT2,3-oxoacid CoA-transferase 2,AB050193,NM_022120
OXER1,oxoeicosanoid receptor 1,AB083055,NM_148962
OXGR1,oxoglutarate receptor 1,AF411109,NM_080818
OXLD1,oxidoreductase like domain containing 1,,NM_001039842
OXNAD1,oxidoreductase NAD binding domain containing 1,AL832787,NM_138381
OXR1,oxidation resistance 1,AF309387,NM_181354
OXSM,"3-oxoacyl-ACP synthase, mitochondrial",BC008202,NM_017897
OXSR1,oxidative stress responsive kinase 1,AB017642,NM_005109
OXT,oxytocin/neurophysin I prepropeptide,,NM_000915
OXTR,oxytocin receptor
P2RX1,purinergic receptor P2X 1,X83688,NM_002558
P2RX2,purinergic receptor P2X 2,AF109387
P2RX3,purinergic receptor P2X 3,Y07683,NM_002559
P2RX4,purinergic receptor P2X 4,Y07684,NM_175567
P2RX5,purinergic receptor P2X 5,AF016709,"NM_002561, NM_175080, NM_175081"
P2RX6,purinergic receptor P2X 6,,NM_005446
P2RX7,purinergic receptor P2X 7,Y09561,NM_002562
P2RY1,purinergic receptor P2Y1,U42029,NM_002563
P2RY2,purinergic receptor P2Y2,U07225,NM_176072
P2RY4,pyrimidinergic receptor P2Y4,X91852,NM_002565
P2RY6,pyrimidinergic receptor P2Y6
P2RY8,P2Y receptor family member 8,AA804531,NM_178129
P2RY10,P2Y receptor family member 10,AF000545
P2RY11,purinergic receptor P2Y11,AF030335,NM_002566
P2RY12,purinergic receptor P2Y12,AJ320495
P2RY13,purinergic receptor P2Y13,AF295368,NM_023914
P2RY14,purinergic receptor P2Y14,D13626,NM_014879
P3H1,prolyl 3-hydroxylase 1,AK027648,NM_022356
P3H2,prolyl 3-hydroxylase 2,,NM_018192
P3H3,prolyl 3-hydroxylase 3,U47926,NM_014262
P3H4,prolyl 3-hydroxylase family member 4 (inactive),BC001047,NM_006455
P3R3URF,PIK3R3 upstream open reading frame,,NM_001328655
P4HA1,prolyl 4-hydroxylase subunit alpha 1,,NM_000917
P4HA2,prolyl 4-hydroxylase subunit alpha 2,U90441,NM_004199
P4HA3,prolyl 4-hydroxylase subunit alpha 3,AY327887,NM_182904
P4HB,prolyl 4-hydroxylase subunit beta,J02783,NM_000918
P4HTM,"prolyl 4-hydroxylase, transmembrane",,NM_177938
PA2G4,proliferation-associated 2G4,"U59435, BC007561",NM_006191
PAAF1,proteasomal ATPase associated factor 1,BC006142,NM_025155
PABIR1,PP2A Aalpha (PPP2R1A) and B55A (PPP2R2A) interacting phosphatase regulator 1,AK126379,NM_138333
PABIR2,PABIR family member 2,BX538218,NM_145284
PABIR3,PABIR family member 3,BC017868,NM_138819
PABPC1,poly(A) binding protein cytoplasmic 1,Y00345,NM_002568
PABPC1L,poly(A) binding protein cytoplasmic 1 like,AK026760
PABPC1L2A,poly(A) binding protein cytoplasmic 1 like 2A,BC041956,NM_001012977
PABPC1L2B,poly(A) binding protein cytoplasmic 1 like 2B,,NM_001042506
PABPC3,poly(A) binding protein cytoplasmic 3,AF132026,NM_030979
PABPC4,poly(A) binding protein cytoplasmic 4,U33818,NM_001135653
PABPC4L,poly(A) binding protein cytoplasmic 4 like,AY672099,NM_001114734
PABPC5,poly(A) binding protein cytoplasmic 5,AJ278963,NM_080832
PABPN1,poly(A) binding protein nuclear 1,AF026029,NM_004643
PABPN1L,"PABPN1 like, cytoplasmic",,NM_001080487
PACC1,proton activated chloride channel 1,AK024066,NM_018252
PACRG,parkin coregulated,AK057286,NM_152410
PACRGL,parkin coregulated like,AK098692,NM_145048
PACS1,phosphofurin acidic cluster sorting protein 1,AB033001,NM_018026
PACS2,phosphofurin acidic cluster sorting protein 2,AB011174,NM_001100913
PACSIN1,protein kinase C and casein kinase substrate in neurons 1,AB037800
PACSIN2,protein kinase C and casein kinase substrate in neurons 2,AF128536,NM_007229
PACSIN3,protein kinase C and casein kinase substrate in neurons 3,AF130979,NM_016223
PADI1,peptidyl arginine deiminase 1,AB033768,NM_013358
PADI2,peptidyl arginine deiminase 2,AB030176
PADI3,peptidyl arginine deiminase 3,AB026831
PADI4,peptidyl arginine deiminase 4,AB017919,NM_012387
PADI6,peptidyl arginine deiminase 6,AY422079,NM_207421
PAEP,progestagen associated endometrial protein,,NM_001018049
PAF1,"PAF1 homolog, Paf1/RNA polymerase II complex component",,NM_019088
PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,L25107,NM_000430
PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2,D63390,NM_002572
PAFAH1B3,platelet activating factor acetylhydrolase 1b catalytic subunit 3,D63391,NM_002573
PAFAH2,platelet activating factor acetylhydrolase 2,D87845,NM_000437
PAG1,phosphoprotein membrane anchor with glycosphingolipid microdomains 1,AF240634,NM_018440
PAGE1,PAGE family member 1,AF058989
PAGE2,PAGE family member 2,BC054022,NM_207339
PAGE2B,PAGE family member 2B,,NM_001015038
PAGE3,PAGE family member 3,,NM_001171252
PAGE4,PAGE family member 4,AF275258
PAGE5,PAGE family member 5,AJ344352,NM_130467
PAGR1,PAXIP1 associated glutamate rich protein 1,BC003640,NM_024516
PAH,phenylalanine hydroxylase,U49897
PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,X53793,NM_006452
PAIP1,poly(A) binding protein interacting protein 1,AF013758,NM_006451
PAIP2,poly(A) binding protein interacting protein 2,AF151052,NM_016480
PAIP2B,poly(A) binding protein interacting protein 2B,,NM_020459
PAK1,p21 (RAC1) activated kinase 1,U51120,NM_002576
PAK1IP1,PAK1 interacting protein 1,AF283303,NM_017906
PAK2,p21 (RAC1) activated kinase 2,U24153,NM_002577
PAK3,p21 (RAC1) activated kinase 3,AF068864,NM_002578
PAK4,p21 (RAC1) activated kinase 4,AJ011855
PAK5,p21 (RAC1) activated kinase 5,AB033090
PAK6,p21 (RAC1) activated kinase 6,AF276893
PALB2,partner and localizer of BRCA2,,NM_024675
PALD1,phosphatase domain containing paladin 1,AB033100,NM_014431
PALLD,"palladin, cytoskeletal associated protein",AB023209,NM_016081
PALM,paralemmin,Y16270,NM_002579
PALM2AKAP2,PALM2 and AKAP2 fusion,AB023137,NM_007203
PALM3,paralemmin 3,,NM_001145028
PALMD,palmdelphin,AJ312214,NM_017734
PALS1,"protein associated with LIN7 1, MAGUK p55 family member",AK022677,NM_022474
PALS2,"protein associated with LIN7 2, MAGUK p55 family member",AF162130
PAM,peptidylglycine alpha-amidating monooxygenase,AB095007,NM_000919
PAM16,presequence translocase associated motor 16,AK026514,NM_016069
PAMR1,peptidase domain containing associated with muscle regeneration 1,,NM_015430
PAN2,poly(A) specific ribonuclease subunit PAN2,AB014610,NM_014871
PAN3,poly(A) specific ribonuclease subunit PAN3,AK091307,NM_175854
PANK1,pantothenate kinase 1,AF355198
PANK2,pantothenate kinase 2,AK021791,NM_024960
PANK3,pantothenate kinase 3,AK022961,NM_024594
PANK4,pantothenate kinase 4 (inactive),AK001644
PANO1,proapoptotic nucleolar protein 1
PANX1,pannexin 1,AF093239,NM_015368
PANX2,pannexin 2,,NM_052839
PANX3,pannexin 3,AF406650
PAOX,polyamine oxidase,BC032778,NM_152911
PAPLN,"papilin, proteoglycan like sulfated glycoprotein",BC042057,NM_173462
PAPOLA,poly(A) polymerase alpha,X76770
PAPOLB,poly(A) polymerase beta,AF218840,NM_020144
PAPOLG,poly(A) polymerase gamma,AC012498,NM_022894
PAPPA,pappalysin 1,,NM_002581
PAPPA2,pappalysin 2,BG354569
PAPSS1,3'-phosphoadenosine 5'-phosphosulfate synthase 1,Y10387
PAPSS2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,AF091242
PAQR3,progestin and adipoQ receptor family member 3,AK055774,NM_177453
PAQR4,progestin and adipoQ receptor family member 4,,NM_152341
PAQR5,progestin and adipoQ receptor family member 5,,NM_017705
PAQR6,progestin and adipoQ receptor family member 6,AF455045,NM_024897
PAQR7,progestin and adipoQ receptor family member 7,,NM_178422
PAQR8,progestin and adipoQ receptor family member 8,AF347029,NM_133367
PAQR9,progestin and adipoQ receptor family member 9,AY424287,NM_198504
PARD3,par-3 family cell polarity regulator,AF252293,NM_019619
PARD3B,par-3 family cell polarity regulator beta,AB053321,NM_057177
PARD6A,par-6 family cell polarity regulator alpha,,NM_016948
PARD6B,par-6 family cell polarity regulator beta,AB044555,NM_032521
PARD6G,par-6 family cell polarity regulator gamma,,NM_032510
PARG,poly(ADP-ribose) glycohydrolase,AF005043,NM_003631
PARK7,Parkinsonism associated deglycase,D61380,NM_007262
PARL,presenilin associated rhomboid like,AF116692,NM_018622
PARM1,prostate androgen-regulated mucin-like protein 1,AK022311,NM_015393
PARN,poly(A)-specific ribonuclease,AJ005698,NM_002582
PARP1,poly(ADP-ribose) polymerase 1,BC037545,NM_001618
PARP2,poly(ADP-ribose) polymerase 2,AF085734
PARP3,poly(ADP-ribose) polymerase family member 3,AF083068,NM_005485.4
PARP4,poly(ADP-ribose) polymerase family member 4,AF057160,NM_006437
PARP6,poly(ADP-ribose) polymerase family member 6,AL390093,NM_020214
PARP8,poly(ADP-ribose) polymerase family member 8,AL834477,NM_024615
PARP9,poly(ADP-ribose) polymerase family member 9,AF307339,NM_031458
PARP10,poly(ADP-ribose) polymerase family member 10,AK027370,NM_032789
PARP11,poly(ADP-ribose) polymerase family member 11,AF263540
PARP12,poly(ADP-ribose) polymerase family member 12,AL136766,NM_022750
PARP14,poly(ADP-ribose) polymerase family member 14,AB033094,NM_017554
PARP15,poly(ADP-ribose) polymerase family member 15,AK097916,NM_152615
PARP16,poly(ADP-ribose) polymerase family member 16,AK000516,NM_017851
PARPBP,PARP1 binding protein,AK000648,NM_017915
PARS2,"prolyl-tRNA synthetase 2, mitochondrial",AK025585,NM_152268
PARVA,parvin alpha,AF237771,NM_018222
PARVB,parvin beta,AF151814,NM_001003828
PARVG,parvin gamma,AF237772,NM_022141
PASD1,PAS domain containing repressor 1,AY270020,NM_173493
PASK,PAS domain containing serine/threonine kinase,U79240,NM_015148
PATE1,prostate and testis expressed 1,AF462605,NM_138294
PATE2,prostate and testis expressed 2,AY358105,NM_212555
PATE3,prostate and testis expressed 3,EF426753,NM_001129883
PATE4,prostate and testis expressed 4,AK123042,NM_001144874
PATJ,PATJ crumbs cell polarity complex component,AB044807,NM_170605
PATL1,"PAT1 homolog 1, processing body mRNA decay factor",AK094193,NM_152716
PATL2,PAT1 homolog 2,BC036924,NM_001145112
PATZ1,POZ/BTB and AT hook containing zinc finger 1,AL096880,NM_032052
PAWR,pro-apoptotic WT1 regulator,U63809,NM_002583
PAX1,paired box 1
PAX2,paired box 2
PAX3,paired box 3
PAX4,paired box 4
PAX5,paired box 5
PAX6,paired box 6,AY707088,NM_001604
PAX7,paired box 7,X96743,NM_002584
PAX8,paired box 8,X69699
PAX9,paired box 9,AJ238381
PAXBP1,PAX3 and PAX7 binding protein 1,AF231920,NM_013329
PAXIP1,PAX interacting protein 1,U80735,NM_007349
PAXX,PAXX non-homologous end joining factor,BC002613,NM_183241
PBDC1,polysaccharide biosynthesis domain containing 1,BC001220,NM_016500
PBK,PDZ binding kinase,AB027249,NM_018492
PBLD,phenazine biosynthesis like protein domain containing,AK027673,NM_022129
PBOV1,prostate and breast cancer overexpressed 1,AF189269,NM_021635
PBRM1,polybromo 1,BC015323,NM_018165
PBX1,PBX homeobox 1,M86546,NM_002585
PBX2,PBX homeobox 2
PBX3,PBX homeobox 3
PBX4,PBX homeobox 4,AJ300182
PBXIP1,PBX homeobox interacting protein 1,AF221521,NM_020524
PC,pyruvate carboxylase,U04641,NM_001040716
PCARE,photoreceptor cilium actin regulator,,NM_001029883
PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,BC006324,NM_000281
PCBD2,pterin-4 alpha-carbinolamine dehydratase 2,AF499009,NM_032151
PCBP1,poly(rC) binding protein 1,,NM_006196
PCBP2,poly(rC) binding protein 2,BC035420,NM_005016
PCBP3,poly(rC) binding protein 3,AF176329
PCBP4,poly(rC) binding protein 4,AF176330,NM_020418
PCCA,propionyl-CoA carboxylase subunit alpha,X14608
PCCB,propionyl-CoA carboxylase subunit beta
PCDH1,protocadherin 1,AK075233,NM_032420
PCDH7,protocadherin 7,AB006755,"NM_032457, NM_002589"
PCDH8,protocadherin 8,AF061573,NM_002590
PCDH9,protocadherin 9,AF169692,NM_203487
PCDH10,protocadherin 10,AB037821,NM_032961
PCDH11X,protocadherin 11 X-linked,AB026187,NM_032969
PCDH11Y,protocadherin 11 Y-linked,AF332217,NM_032973
PCDH12,protocadherin 12,AF231025,NM_016580
PCDH15,protocadherin related 15,AY029205,NM_033056
PCDH17,protocadherin 17,AF029343,NM_001040429
PCDH18,protocadherin 18,AL137471,NM_019035
PCDH19,protocadherin 19,AB037734,NM_020766
PCDH20,protocadherin 20,AF169693,NM_022843
PCDH23,"symbol withdrawn, see [HGNC:23111](/data/gene-symbol-report/#!/hgnc_id/HGNC:23111)"
PCDHA@,"protocadherin alpha cluster, complex locus"
PCDHB@,protocadherin beta cluster
PCDHG@,protocadherin gamma cluster
PCED1A,PC-esterase domain containing 1A,AK026029,NM_022760
PCED1B,PC-esterase domain containing 1B,BC016154,NM_138371
PCF11,PCF11 cleavage and polyadenylation factor subunit,AB020631,NM_015885
PCGF1,polycomb group ring finger 1,AF087884,NM_032673
PCGF2,polycomb group ring finger 2,D13969,NM_007144
PCGF3,polycomb group ring finger 3,AK093869,NM_006315
PCGF5,polycomb group ring finger 5,AL832003,NM_032373
PCGF6,polycomb group ring finger 6,AB047006,NM_032154
PCID2,PCI domain containing 2,AK002167,NM_018386
PCIF1,phosphorylated CTD interacting factor 1,AB050014,NM_022104
PCK1,phosphoenolpyruvate carboxykinase 1
PCK2,"phosphoenolpyruvate carboxykinase 2, mitochondrial",AK129934,NM_001018073
PCLAF,PCNA clamp associated factor,D14657,NM_014736
PCLO,piccolo presynaptic cytomatrix protein,AB011131,NM_014510
PCM1,pericentriolar material 1,,NM_006197
PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,,NM_052937
PCMTD2,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2,AK001745,NM_018257
PCNA,proliferating cell nuclear antigen,J04718
PCNP,PEST proteolytic signal containing nuclear protein,,NM_020357
PCNT,pericentrin,AB007862,NM_006031
PCNX1,pecanex 1,"AF233450, AB018348",NM_014982
PCNX2,pecanex 2,AK055374,NM_014801
PCNX3,pecanex 3,BX640978,NM_032223
PCNX4,pecanex 4,AK022861,NM_022495
PCOLCE,procollagen C-endopeptidase enhancer,L33799,NM_002593
PCOLCE2,procollagen C-endopeptidase enhancer 2,AF098269,NM_013363
PCP2,Purkinje cell protein 2,BC025387,NM_001271830
PCP4,Purkinje cell protein 4,"X93349, U53709",NM_006198
PCP4L1,Purkinje cell protein 4 like 1,BC028905
PCSK1,proprotein convertase subtilisin/kexin type 1,,NM_000439
PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor,AF181562,NM_013271
PCSK2,proprotein convertase subtilisin/kexin type 2,AK312341,NM_002594
PCSK4,proprotein convertase subtilisin/kexin type 4,AK057235,NM_017573
PCSK5,proprotein convertase subtilisin/kexin type 5
PCSK6,proprotein convertase subtilisin/kexin type 6,,NM_002570
PCSK7,proprotein convertase subtilisin/kexin type 7,U40623,NM_004716
PCSK9,proprotein convertase subtilisin/kexin type 9,AX207686,NM_174936
PCTP,phosphatidylcholine transfer protein,AK024667,NM_021213
PCYOX1,prenylcysteine oxidase 1,AB020715,NM_016297
PCYOX1L,prenylcysteine oxidase 1 like,,NM_024028
PCYT1A,"phosphate cytidylyltransferase 1A, choline",L28957,NM_005017
PCYT1B,"phosphate cytidylyltransferase 1B, choline",AF052510,NM_004845
PCYT2,"phosphate cytidylyltransferase 2, ethanolamine",D84307,NM_002861
PDAP1,PDGFA associated protein 1,U41745,NM_014891
PDC,phosducin,AF076464,NM_022577
PDCD1,programmed cell death 1,AY206416,NM_005018
PDCD1LG2,programmed cell death 1 ligand 2,AF344424,NM_025239
PDCD2,programmed cell death 2,AJ420535,NM_002598
PDCD2L,programmed cell death 2 like,BC006146,NM_032346
PDCD4,programmed cell death 4,U83908,NM_014456
PDCD5,programmed cell death 5,AF014955,NM_004708
PDCD6,programmed cell death 6,AF035606,NM_013232
PDCD6IP,programmed cell death 6 interacting protein,BC020066
PDCD7,programmed cell death 7,AF083930,NM_005707
PDCD10,programmed cell death 10,AF022385,NM_007217
PDCD11,programmed cell death 11,D80007
PDCL,phosducin like,AF083325,NM_005388
PDCL2,phosducin like 2,BC034431,NM_152401
PDCL3,phosducin like 3,AF267853,NM_024065
PDE1A,phosphodiesterase 1A
PDE1B,phosphodiesterase 1B,U56976
PDE1C,phosphodiesterase 1C,U40371
PDE2A,phosphodiesterase 2A,U67733,NM_002599
PDE3A,phosphodiesterase 3A
PDE3B,phosphodiesterase 3B,U38178,NM_000922
PDE4A,phosphodiesterase 4A
PDE4B,phosphodiesterase 4B,L20971,NM_002600
PDE4C,phosphodiesterase 4C
PDE4D,phosphodiesterase 4D
PDE4DIP,phosphodiesterase 4D interacting protein,"AB007923, AB007946",NM_014644
PDE5A,phosphodiesterase 5A,D89094,NM_001083
PDE6A,phosphodiesterase 6A
PDE6B,phosphodiesterase 6B,BC000249,NM_000283
PDE6C,phosphodiesterase 6C,U31973,NM_006204
PDE6D,phosphodiesterase 6D,AF045999
PDE6G,phosphodiesterase 6G
PDE6H,phosphodiesterase 6H
PDE7A,phosphodiesterase 7A,L12052
PDE7B,phosphodiesterase 7B,AB038040
PDE8A,phosphodiesterase 8A,AF056490,NM_002605
PDE8B,phosphodiesterase 8B,AF079529,NM_003719
PDE9A,phosphodiesterase 9A,AF048837
PDE10A,phosphodiesterase 10A,AB020593
PDE11A,phosphodiesterase 11A,AJ251509
PDE12,phosphodiesterase 12,AK074423,NM_177966
PDF,"peptide deformylase, mitochondrial",AF239156,NM_022341
PDGFA,platelet derived growth factor subunit A
PDGFB,platelet derived growth factor subunit B,,NM_002608
PDGFC,platelet derived growth factor C,AF091434
PDGFD,platelet derived growth factor D,AF113216,NM_025208
PDGFRA,platelet derived growth factor receptor alpha,D50001,NM_006206
PDGFRB,platelet derived growth factor receptor beta,M21616,NM_002609
PDGFRL,platelet derived growth factor receptor like,D37965,NM_006207
PDHA1,pyruvate dehydrogenase E1 subunit alpha 1
PDHA2,pyruvate dehydrogenase E1 subunit alpha 2
PDHB,pyruvate dehydrogenase E1 subunit beta
PDHX,pyruvate dehydrogenase complex component X,U82328,NM_003477
PDIA2,protein disulfide isomerase family A member 2,U19948,NM_006849
PDIA3,protein disulfide isomerase family A member 3,,NM_005313
PDIA4,protein disulfide isomerase family A member 4,BC001928,NM_004911
PDIA5,protein disulfide isomerase family A member 5,AK054963,NM_006810
PDIA6,protein disulfide isomerase family A member 6,BC001312,NM_005742
PDIK1L,PDLIM1 interacting kinase 1 like,AF411102,NM_152835
PDILT,"protein disulfide isomerase like, testis expressed",,NM_174924
PDK1,pyruvate dehydrogenase kinase 1,L42450,NM_002610
PDK2,pyruvate dehydrogenase kinase 2,L42451,NM_002611
PDK3,pyruvate dehydrogenase kinase 3,L42452,NM_005391
PDK4,pyruvate dehydrogenase kinase 4,U54617,NM_002612
PDLIM1,PDZ and LIM domain 1,U90878
PDLIM2,PDZ and LIM domain 2,AY007729
PDLIM3,PDZ and LIM domain 3,AF002280,NM_014476
PDLIM4,PDZ and LIM domain 4,AF153882,NM_003687
PDLIM5,PDZ and LIM domain 5,AF061258
PDLIM7,PDZ and LIM domain 7,BC001093,NM_005451
PDP1,pyruvate dehydrogenase phosphatase catalytic subunit 1,AF155661,NM_018444
PDP2,pyruvate dehydrogenase phosphatase catalytic subunit 2,AB037769,NM_020786
PDPK1,3-phosphoinositide dependent protein kinase 1,AF017995
PDPN,podoplanin,"AB127958, AY194238",NM_006474
PDPR,pyruvate dehydrogenase phosphatase regulatory subunit,,NM_017990
PDRG1,p53 and DNA damage regulated 1,AL031658,NM_030815
PDS5A,PDS5 cohesin associated factor A,AF294791,NM_015200
PDS5B,PDS5 cohesin associated factor B,AB023196,NM_015032
PDSS1,decaprenyl diphosphate synthase subunit 1,AF118395
PDSS2,decaprenyl diphosphate synthase subunit 2,AF254956,NM_020381
PDX1,pancreatic and duodenal homeobox 1,AF035260,NM_000209
PDXDC1,pyridoxal dependent decarboxylase domain containing 1,"AK025504, BX647809",NM_015027
PDXK,pyridoxal kinase,U89606,NM_003681
PDXP,pyridoxal phosphatase,BC064922,NM_020315
PDYN,prodynorphin
PDZD2,PDZ domain containing 2,AB002298
PDZD4,PDZ domain containing 4,AK091444,NM_032512
PDZD5C,"symbol withdrawn, see [HGNC:28572](/data/gene-symbol-report/#!/hgnc_id/HGNC:28572)"
PDZD7,PDZ domain containing 7,AK026862,NM_024895
PDZD8,PDZ domain containing 8,AL122051,NM_173791
PDZD9,PDZ domain containing 9,BC039562,NM_173806
PDZD11,PDZ domain containing 11,AF151061,NM_016484
PDZK1,PDZ domain containing 1,AF012281,NM_002614
